job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
898167,interleave2023_24.0_d89f0a7a08f9b60579b26b01e2196394,SLURM_TIME_LIMIT,5100,0,1403,1306,105,145,0.7241379310344828
897953,interleave2023_24.0_431bfb466be51ecd86b321b5cbce6d3c,UNDEFINED/UNSAT,4.788,89,0,0,2,3,0.6666666666666666
897889,interleave2023_24.0_220bb8aa093e502c47afcdac3140d67c,SAT,50.762,4,203,1,3,17,0.17647058823529413
898056,interleave2023_24.0_8fa526d20599ca8c3d613e9066d62e61,SLURM_TIME_LIMIT,5100,1145,0,0,6,9,0.6666666666666666
898014,interleave2023_24.0_71bca76153c6ee65b72a517fd658a42d,SAT,5100,12,40,0,1,2,0.5
897882,interleave2023_24.0_1f215812371f0c428eb1f1e51f9f23d7,SLURM_TIME_LIMIT,5100,10,391,0,102,123,0.8292682926829268
898203,interleave2023_24.0_fab0db1ab0dd5baa3215aab51ab69355,SAT,83.465,0,12,0,10,13,0.7692307692307693
897963,interleave2023_24.0_48ac8814180bdc90bf96a4caea64dae2,SLURM_TIME_LIMIT,5100,0,22196,107,29,150,0.19333333333333333
897866,interleave2023_24.0_18babbd2835b8a37c6299f8b0301c7c9,SAT,21.453,0,5,0,2,3,0.6666666666666666
898102,interleave2023_24.0_a9d081cbb33e6051be2512f2a2269d65,OUT_OF_MEMORY,5100,0,0,0,0,0,0
898092,interleave2023_24.0_a64f3c1afd7e0f6165efbe9fc2fc8003,SLURM_TIME_LIMIT,5100,0,186,0,91,134,0.6791044776119403
898214,interleave2023_24.0_ff867fd35aa52058382a8b0c21cd1f38,SLURM_TIME_LIMIT,5100,1,283,0,112,150,0.7466666666666667
897906,interleave2023_24.0_291c2b4fa2d8b009cd2a8331891ba667,SAT,349.721,13,187,3,4,14,0.2857142857142857
897972,interleave2023_24.0_4ffb80a0ad8b753fee1492101ffcbdbb,SLURM_TIME_LIMIT,5100,0,0,0,195,195,1.0
897844,interleave2023_24.0_096ac97e4261eabca440fc7bc135d7c0,SAT,1027.157,109,32,0,21,38,0.5526315789473685
897983,interleave2023_24.0_57c305967b30c503da1737258e6cc7e5,UNDEFINED/UNSAT,1775.551,60,758,330,15,53,0.2830188679245283
898143,interleave2023_24.0_caead0e04b6de4365822b25dfd55967f,SLURM_TIME_LIMIT,5100,7,252,8,23,35,0.6571428571428571
898199,interleave2023_24.0_f55acea8f0d207becbbbd26a11d97841,SLURM_TIME_LIMIT,5100,8,35,26,3,8,0.375
898126,interleave2023_24.0_bbf800109d039e117ed60593c185692c,SLURM_TIME_LIMIT,5100,0,84,0,143,159,0.89937106918239
897899,interleave2023_24.0_2722f39c27dc45a989bb52761ed52e50,SLURM_TIME_LIMIT,5100,1,358,0,101,126,0.8015873015873016
898070,interleave2023_24.0_96ae6bde39369f75aa975b0f5b74c325,SAT,148.293,4,0,0,2,3,0.6666666666666666
