job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
900870,interleave_34.0_8dd3ee48f7d6459e0c84ea6bd56330d8-rphp5_040_shuffled,UNDEFINED/UNSAT,1927.154,25,247,129,82,92,0.8913043478260869
900809,interleave_34.0_0a7c533c247dac95d79cc0ff3cd0fb9f-rphp4_100_shuffled,UNDEFINED/UNSAT,3040.06,34,1106,2443,66,99,0.6666666666666666
900830,interleave_34.0_2eee5bfbc4019900d2cac2206949defe-homer19.shuffled,SLURM_TIME_LIMIT,5100,0,0,0,102,102,1.0
900866,interleave_34.0_8924fd8ff845dfbe1e0970f3476328d7-hwb-n28-01-S136611085.shuffled-as.sat05-491,UNDEFINED/UNSAT,1029.34,0,30,14,49,62,0.7903225806451613
900872,interleave_34.0_901dfaac739b6cb18711faac9f5b909d-queen12_12.col.12,UNDEFINED/UNSAT,1978.078,0,0,0,87,87,1.0
900827,interleave_34.0_2d6d26e1c5b4f2763c03697a6d00d3cf-fixedbandwidth-eq-31_shuffled,SLURM_TIME_LIMIT,5100,0,0,0,88,88,1.0
900913,interleave_34.0_f3f6b1bdf843e3f2df370189b5fccad7-sdiv17prop,UNDEFINED/UNSAT,2077.8,65,824,62,13,58,0.22413793103448276
900909,interleave_34.0_efed5fc1cfe3f6c3627711513330aa77-homer16.shuffled,UNDEFINED/UNSAT,3424.897,1,2,4,96,97,0.9896907216494846
900839,interleave_34.0_3f6f965092f896d6c711fb314e49ed47-Grain_no_init_ver1_out200_known_last104_0_u,UNDEFINED/UNSAT,2349.162,0,268,0,41,75,0.5466666666666666
900861,interleave_34.0_7fc117c1ce7ec6ebf3a770f382a5a29a-SGI_30_70_18_80_10-dir.shuffled-as.sat03-140,UNDEFINED/UNSAT,2828.474,0,265,51,71,88,0.8068181818181818
900831,interleave_34.0_307586ddb51dbb0217b1611876e59882-aes_32_3_keyfind_1-sc2011,SAT,1200.239,0,21,0,46,52,0.8846153846153846
900845,interleave_34.0_53742d5ab42c7dcc531c21faceb25cea-php-012-011.shuffled-as.sat05-1186,UNDEFINED/UNSAT,3405.488,3,18,8,96,97,0.9896907216494846
900868,interleave_34.0_8c70a8d5d537e2c49a58d3c3787ca602-w15,UNDEFINED/UNSAT,2621.401,0,10,0,50,57,0.8771929824561403
900860,interleave_34.0_7b40e39148de4d5f8d9384d6937c287e-stable-400-0.1-12-98765432140012,SAT,2147.149,0,0,0,83,83,1.0
900805,interleave_34.0_047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017,UNDEFINED/UNSAT,3830.424,255,3941,0,19,47,0.40425531914893614
900812,interleave_34.0_0cab9100cdd8505069301d658d085899-AProVE07-01,UNDEFINED/UNSAT,4189.343,157,1001,246,8,58,0.13793103448275862
900833,interleave_34.0_38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v1150c84314gyes10,SLURM_TIME_LIMIT,5100,0,0,1,84,84,1.0
900857,interleave_34.0_7399b86263f8b97f37480968786d1a9a-aloul-chnl11-13,UNDEFINED/UNSAT,3625.596,0,1,0,97,97,1.0
900849,interleave_34.0_5a9ce84a8725164c40c90d2eb420bad9-sted5_0x0_n90-157,SAT,3878.685,69,1372,339,7,51,0.13725490196078433
900912,interleave_34.0_f35ed23733431177436a1e7797c07dfe-SCPC-900-31,SAT,4225.585,0,0,0,102,102,1.0
900825,interleave_34.0_25fb7464ca6edd09189582fedaf5dba6-bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99,UNDEFINED/UNSAT,1592.921,0,60,2,48,67,0.7164179104477612
900835,interleave_34.0_3c4ac805726d78a869ff8116ee3533db-homer18.shuffled,UNDEFINED/UNSAT,4848.198,0,2,0,101,102,0.9901960784313726
900886,interleave_34.0_b4d2dc29c3d639b52b67d2b9655f3633-mp1-rubikcube301,UNDEFINED/UNSAT,2941.317,92,2620,0,19,47,0.40425531914893614
900855,interleave_34.0_71270454196ae092b28d0a74300a85e1-Schur_161_5_d40,UNDEFINED/UNSAT,3168.829,1,50,0,71,78,0.9102564102564102
900901,interleave_34.0_dd13d3c1ff64d2149723f8200ca49e16-fixedbandwidth-eq-34_shuffled,UNDEFINED/UNSAT,3644.212,0,0,0,88,88,1.0
900814,interleave_34.0_107e43f3e7616bc80201d3694a7fba14-sgen1-unsat-85-100,UNDEFINED/UNSAT,2280.218,0,8,0,93,98,0.9489795918367347
900884,interleave_34.0_b213f197a5300b35a47c01771b40f8bb-frb50-23-2.used-as.sat04-886,SLURM_TIME_LIMIT,5100,0,1,4,83,84,0.9880952380952381
900852,interleave_34.0_65daba7b1614fdbdf75b34d68953de64-sha1r17m147ABCD,SAT,3417.239,25,485,39,19,53,0.3584905660377358
900847,interleave_34.0_556deccbd6591671e3aa80fde2d8f01c-frb50-23-1.used-as.sat04-885,SAT,3461.957,0,3,16,71,73,0.9726027397260274
900899,interleave_34.0_d4acb8ca0d73ed82d6ff7f11fcccfa0c-unsat-set-a-clqcolor-12-07-08.sat05-1251.reshuffled-07,UNDEFINED/UNSAT,4542.855,5,39,18,105,113,0.9292035398230089
900856,interleave_34.0_7143d6509c168869ea1d86638c9ca262-rphp4_095_shuffled,UNDEFINED/UNSAT,2088.078,27,1004,2287,60,91,0.6593406593406593
900898,interleave_34.0_d27c2011e47a5da3496ee4ae881cf7d3-sha1r17m149ABCD,SAT,3935.584,10,459,9,27,55,0.4909090909090909
